City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fairbanks,64.8378,-147.7164,261.94,82,100,2.57,US,1675308557
1,mataura,-46.1927,168.8643,295.19,76,100,1.91,NZ,1675308557
2,turkmenabat,39.0733,63.5786,279.14,100,99,3.09,TM,1675308558
3,mpulungu,-8.7623,31.1141,293.59,80,41,1.66,ZM,1675308559
4,mutis,6.2262,-77.4044,298.5,83,56,0.62,CO,1675308559
5,lokosovo,61.1333,74.8167,259.73,98,99,2.46,RU,1675308560
6,hithadhoo,-0.6,73.0833,299.99,77,43,4.35,MV,1675308561
7,jamestown,42.097,-79.2353,266.32,85,0,3.6,US,1675308470
8,bredasdorp,-34.5322,20.0403,290.18,82,9,1.22,ZA,1675308561
9,new norfolk,-42.7826,147.0587,291.99,55,99,1.79,AU,1675308562
10,punta arenas,-53.15,-70.9167,287.21,58,100,3.09,CL,1675308338
11,hobart,-42.8794,147.3294,292.18,50,75,8.75,AU,1675308384
12,cape town,-33.9258,18.4232,291.43,72,20,6.69,ZA,1675308300
13,kodiak,57.79,-152.4072,272.88,86,75,2.06,US,1675308563
14,busselton,-33.65,115.3333,298.17,36,97,6.27,AU,1675308564
15,barrow,71.2906,-156.7887,251.16,84,0,10.29,US,1675308564
16,manyana,-23.4,21.7167,293.94,72,100,2.95,BW,1675308564
17,zyryanka,65.75,150.85,242.39,97,92,2.28,RU,1675308565
18,ushuaia,-54.8,-68.3,284.96,76,40,2.57,AR,1675308321
19,dikson,73.5069,80.5464,252.15,94,95,3.36,RU,1675308566
20,havre-saint-pierre,50.2334,-63.5986,261.15,84,0,3.09,CA,1675308566
21,kavieng,-2.5744,150.7967,303.01,61,97,3.25,PG,1675308567
22,kavaratti,10.5669,72.642,299.94,75,87,3.96,IN,1675308567
23,clyde river,70.4692,-68.5914,238.28,68,0,2.06,CA,1675308567
24,kutum,14.2,24.6667,286.88,23,40,3.19,SD,1675308568
25,koumac,-20.5667,164.2833,302.88,55,99,2.42,NC,1675308568
26,port alfred,-33.5906,26.891,290.47,93,0,4.04,ZA,1675308568
27,tasiilaq,65.6145,-37.6368,267.24,78,100,9.89,GL,1675308569
28,belchatow,51.3688,19.3567,275.98,97,100,7.17,PL,1675308569
29,vaini,-21.2,-175.2,302.24,74,75,6.17,TO,1675308570
30,qaanaaq,77.484,-69.3632,250.12,63,0,3.76,GL,1675308570
31,hamilton,39.1834,-84.5333,271.33,65,0,0.0,US,1675308492
32,beloha,-25.1667,45.05,293.98,89,49,4.92,MG,1675308571
33,avarua,-21.2078,-159.775,296.18,100,100,1.03,CK,1675308571
